"ApproximateLastSignIn","OperatingSystem","Model","OperatingSystemVersion","DeviceId","Manufacturer","IsCompliant","DisplayName","TrustType","IsManaged"
"10/30/2023 10:27:38 AM","Windows","Unknown","10.0.19045.3570","0cf1f398-56d9-49e0-8ae8-734cb6ce423f","Unknown","False","UNERD-AGZ-S1","AzureAd","True"
"5/10/2022 10:14:26 AM","Windows","Unknown","10.0.19042.1288","20b0c87e-3bd9-4093-ac76-f50d5ac06c2c","Unknown",,"LAPTOP-3JVU4HHN","Workplace",
"10/6/2020 5:11:28 PM","Windows","Unknown","10.0.18363.0","22b6139e-cc27-4b92-aba4-63b72ced78ac","Unknown",,"The4RoomHouse","Workplace",
"11/10/2022 2:16:19 PM","Windows","Unknown","10.0.18363.0","2b1b70b9-c267-42ee-b6ff-def0d46f2bf3","Unknown",,"DESKTOP-F9AGS5J","Workplace",
"11/14/2023 11:02:53 AM","Windows","Unknown","10.0.19045.2728","3488a405-1fbe-4b2b-9226-fd3afbe3c37f","Unknown",,"Sfisos-PC","Workplace",
"4/12/2023 10:09:17 AM","Windows","Unknown","10.0.22000.318","36b322be-ed5a-4ec7-8abf-f1df2bb9b6a6","Unknown","False","UNERDTECH2","AzureAd","False"
"9/20/2023 9:17:25 PM","Windows","Unknown","10.0.19041.508","43879d99-3c16-4817-b9df-96d8ef85e6c3","Unknown",,"DESKTOP-N1SD6RK","Workplace",
"6/9/2021 9:50:43 AM","Windows","Unknown","10.0.18363.0","47c6be88-0099-426d-ba15-695bbc3644ae","Unknown",,"DESKTOP-DD328P3","AzureAd",
"9/7/2022 11:48:07 AM","Windows","Unknown","10.0.22000.675","6809e1a2-c220-4dc5-9e2c-707d14f31330","Unknown","False","ZA-JHB-BMASABA","AzureAd","False"
"2/2/2022 6:33:10 AM","Windows","Unknown","10.0.19042.928","8ea5c49e-a9f9-494f-baf5-e4b4391e90d5","Unknown",,"unerd-wvd-1","Workplace",
"7/15/2021 8:17:45 PM","Windows","Unknown","10.0.19042.630","a1db91b7-a58f-4ba0-9cc9-e7d9e5e55d50","Unknown",,"LAPTOP-N3DR1BA6","Workplace",
"6/17/2023 6:47:17 PM","Windows","Unknown","10.0.22621.1413","a31c4c85-20fc-4fd7-8b09-96d267175178","Unknown",,"AFRICAN-SKYBLUE","Workplace",
"4/4/2023 11:25:05 AM","Android","Unknown","11","a98887b2-b988-4725-b09e-452f1fbd4a27","Unknown",,"samsungSM-A032F","Workplace",
"6/22/2023 1:53:31 PM","Windows","Unknown","10.0.22621.1848","ad3b6815-de24-4032-8258-0c496a3f9c67","Unknown","False","UNERDTECH1","AzureAd","True"
"12/28/2020 2:59:12 AM","Windows","Unknown","Windows 10","d83fbedb-89c9-4000-9579-d2ab46e32c7c","Unknown",,"FarrenCHardneck","Workplace",
"11/28/2023 8:29:47 AM","Windows","Unknown","10.0.19042.746","e8db5a9d-d979-467e-9e96-a1905768f968","Unknown",,"ProlineNotebook","Workplace",
